2021-01-01: Neujahr
2021-01-06: Heilige Drei Könige
2021-02-14: Valentinstag
2021-02-15: Rosenmontag
2021-02-17: Aschermittwoch
2021-03-28: Palmsonntag
2021-03-28: Beginn Sommerzeit
2021-04-01: Gründonnerstag
2021-04-02: Karfreitag
2021-04-04: Ostersonntag
2021-04-05: Ostermontag
2021-05-01: Tag der Arbeit
2021-05-09: Muttertag
2021-05-13: Christi Himmelfahrt
2021-05-23: Pfingstsonntag
2021-05-24: Pfingstmontag
2021-06-03: Fronleichnam
2021-06-21: Sommersonnenwende
2021-10-03: Tag der deutschen Einheit
2021-10-03: Erntedankfest
2021-10-31: Reformationstag
2021-11-01: Allerheiligen
2021-11-21: Totensonntag
2021-11-28: 1. Advent
2021-12-05: 2. Advent
2021-12-06: Nikolaus
2021-12-12: 3. Advent
2021-12-19: 4. Advent
2021-12-21: Wintersonnenwende
2021-12-24: Heiligabend
2021-12-25: 1. Weihnachtsfeiertag
2021-12-26: 2. Weihnachtsfeiertag
2021-12-31: Silvester
